Words=50000, iteration=5000
Iteration,	MergeTime,	QSTime
0,	0.0809144,	0.0654248
1,	0.078912,	0.0648226
2,	0.079208,	0.0669699
3,	0.0814746,	0.0653818
4,	0.079163,	0.066018
5,	0.0787492,	0.0652554
6,	0.0789602,	0.0659019
7,	0.0821669,	0.0654498
8,	0.0788842,	0.0649754
9,	0.0791453,	0.0649494
10,	0.079213,	0.0643246
11,	0.0828371,	0.0653001
12,	0.0792969,	0.0642804
13,	0.0788054,	0.0672206
14,	0.0792701,	0.0658284
15,	0.0787513,	0.0693131
16,	0.079258,	0.0658018
17,	0.0791047,	0.0660341
18,	0.0789202,	0.0657577
19,	0.0789655,	0.0668773
20,	0.0782431,	0.0634265
21,	0.0784418,	0.0635265
22,	0.0782309,	0.063371
23,	0.0782815,	0.0636573
24,	0.0813673,	0.0631656
25,	0.078271,	0.0646483
26,	0.0791701,	0.065105
27,	0.0789683,	0.065005
28,	0.0822587,	0.0650452
29,	0.0790382,	0.0645611
30,	0.0792131,	0.065402
31,	0.0794073,	0.0646381
32,	0.0791924,	0.066696
33,	0.0792146,	0.0648016
34,	0.0794182,	0.0653375
35,	0.0790405,	0.0645792
36,	0.0791039,	0.0681362
37,	0.0787378,	0.0646176
38,	0.0792877,	0.0650961
39,	0.0788304,	0.0645683
40,	0.0790361,	0.0652053
41,	0.0790517,	0.0648789
42,	0.0793775,	0.0646245
43,	0.0792606,	0.0644997
44,	0.0791355,	0.0636453
45,	0.0822858,	0.0641432
46,	0.0788367,	0.06354
47,	0.0788144,	0.0654855
48,	0.0792177,	0.0648688
49,	0.0821251,	0.0668096
50,	0.0805839,	0.0672452
51,	0.0807472,	0.0661902
52,	0.0807023,	0.0671069
53,	0.0817096,	0.0690757
54,	0.0812013,	0.0673204
55,	0.0819192,	0.0675538
56,	0.0804542,	0.0672309
57,	0.082005,	0.0701108
58,	0.0799545,	0.0675229
59,	0.0826267,	0.0672346
60,	0.0806261,	0.0676216
61,	0.0821864,	0.0697189
62,	0.0791988,	0.0664919
63,	0.0825048,	0.0664366
64,	0.080438,	0.0650191
65,	0.0820921,	0.0676896
66,	0.0791235,	0.0648755
67,	0.0816633,	0.0648941
68,	0.0813585,	0.067749
69,	0.0862259,	0.0698332
70,	0.0809049,	0.0672445
71,	0.0822602,	0.0674061
72,	0.0802304,	0.0655351
73,	0.0828667,	0.0694341
74,	0.0830328,	0.0665349
75,	0.086521,	0.0658639
76,	0.0802916,	0.0654849
77,	0.0821372,	0.066743
78,	0.0843593,	0.0664548
79,	0.083508,	0.078528
80,	0.0805348,	0.0673442
81,	0.0793808,	0.0656416
82,	0.0851939,	0.0663563
83,	0.0787635,	0.0676165
84,	0.0929449,	0.0740279
85,	0.0899111,	0.0711244
86,	0.0907061,	0.0694953
87,	0.0823986,	0.0657972
88,	0.0805861,	0.066487
89,	0.0801539,	0.0659148
90,	0.0800413,	0.0659938
91,	0.0788423,	0.0658713
92,	0.0794285,	0.0651717
93,	0.0789326,	0.0665512
94,	0.0841393,	0.0667981
95,	0.0800559,	0.0671836
96,	0.0796735,	0.0678836
97,	0.0799198,	0.0670732
98,	0.0833983,	0.0673933
99,	0.0804021,	0.0687189
100,	0.0805418,	0.0678304
101,	0.0804247,	0.0669183
102,	0.0839591,	0.0678341
103,	0.0803964,	0.0682248
104,	0.081423,	0.067853
105,	0.0804295,	0.0684726
106,	0.0821969,	0.0667257
107,	0.07906,	0.0645298
108,	0.080004,	0.066679
109,	0.0811139,	0.0660587
110,	0.0811487,	0.0689189
111,	0.0803724,	0.066
112,	0.0805806,	0.0666721
113,	0.0809539,	0.0674446
114,	0.080632,	0.0693842
115,	0.0804648,	0.067934
116,	0.0810818,	0.0663588
117,	0.079369,	0.0658198
118,	0.0799615,	0.0685839
119,	0.0799656,	0.0662387
